Datasets	Borowiec2015_Best108.Poisson+C60	Borowiec2015_Total1080.Poisson+C60	Chang2015.Poisson+C60	Dunn2008.Poisson+C60	Hejnol2009_subsampled.Poisson+C60	Moroz2014_3d.Poisson+C60	Nosenko2013_nonribo_9187.Poisson+C60	Nosenko2013_ribo_14615.Poisson+C60	Nosenko2013_ribo_14615.Poisson+C60	Philippe2009.Poisson+C60	Ryan2013_est.Poisson+C60	Simion2017_subsampled.Poisson+C60	Whelan2015_D1.Poisson+C60	Whelan2015_D10.Poisson+C60	Whelan2015_D20.Poisson+C60	Whelan2017_full.Poisson+C60	Whelan2017_strict.Poisson+C60
C1	0.009	0.056	0	0.005	0.007	0.01	0	0	0	0	0.003	0	0.014	0.011	0.011	0.014	0.011
C2	0.026	0.03	0.015	0.024	0.024	0.02	0.019	0.021	0.021	0.016	0.027	0.02	0.029	0.027	0.029	0.029	0.029
C3	0.036	0.024	0.038	0.037	0.036	0.019	0.034	0.041	0.041	0.04	0.032	0.036	0.023	0.026	0.027	0.024	0.03
C4	0.025	0.016	0.031	0.021	0.018	0.018	0.024	0.021	0.021	0.028	0.021	0.035	0.02	0.021	0.021	0.024	0.024
C5	0.01	0.014	0.011	0.015	0.014	0.018	0.007	0.008	0.008	0.009	0.012	0.01	0.019	0.018	0.016	0.013	0.013
C6	0.013	0.024	0.008	0.024	0.021	0.018	0.009	0.01	0.01	0.005	0.019	0.012	0.024	0.023	0.022	0.022	0.016
C7	0.008	0.015	0.004	0.007	0.01	0.011	0.002	0.002	0.002	0.001	0.009	0.006	0.013	0.012	0.011	0.01	0.009
C8	0.011	0.009	0.009	0.01	0.013	0.011	0.013	0.005	0.005	0.007	0.011	0.01	0.011	0.01	0.01	0.009	0.01
C9	0.011	0.008	0.014	0.009	0.01	0.014	0.016	0.012	0.012	0.014	0.01	0.012	0.008	0.01	0.011	0.01	0.011
C10	0.001	0.002	0	0.003	0.003	0.001	0.001	0.001	0.002	0	0.002	0	0.003	0.002	0.003	0.002	0.001
C11	0.01	0.012	0.004	0.008	0.011	0.006	0.004	0.003	0.003	0.002	0.011	0.005	0.016	0.012	0.012	0.011	0.009
C12	0.039	0.025	0.055	0.042	0.036	0.03	0.047	0.051	0.052	0.063	0.039	0.047	0.026	0.029	0.03	0.032	0.036
C13	0.008	0.005	0.009	0.009	0.008	0.008	0.01	0.013	0.013	0.011	0.009	0.008	0.005	0.006	0.006	0.006	0.008
C14	0.014	0.011	0.014	0.012	0.01	0.012	0.01	0.016	0.015	0.016	0.013	0.019	0.016	0.015	0.015	0.014	0.014
C15	0.013	0.009	0.015	0.015	0.012	0.013	0.019	0.014	0.015	0.016	0.013	0.017	0.011	0.013	0.013	0.013	0.013
C16	0	0	0.001	0	0	0	0	0	0	0.001	0.001	0.002	0.005	0.004	0.004	0.004	0.002
C17	0.009	0.014	0.006	0.005	0.008	0.004	0.007	0.002	0.002	0.004	0.009	0.008	0.009	0.009	0.01	0.011	0.009
C18	0.007	0.011	0.005	0.007	0.011	0.011	0.004	0.009	0.008	0.004	0.009	0.005	0.009	0.009	0.009	0.008	0.008
C19	0.036	0.04	0.024	0.032	0.039	0.045	0.032	0.018	0.017	0.02	0.035	0.032	0.038	0.037	0.037	0.035	0.038
C20	0.026	0.031	0.016	0.026	0.029	0.021	0.027	0.012	0.012	0.014	0.025	0.02	0.027	0.026	0.025	0.022	0.022
C21	0.018	0.013	0.016	0.013	0.017	0.016	0.019	0.008	0.008	0.014	0.017	0.016	0.011	0.011	0.011	0.013	0.013
C22	0.005	0.006	0.003	0.007	0.006	0.01	0.01	0.004	0.004	0.003	0.007	0.007	0.005	0.006	0.007	0.006	0.006
C23	0.012	0.011	0.012	0.015	0.015	0.01	0.018	0.02	0.02	0.014	0.013	0.011	0.011	0.011	0.011	0.011	0.011
C24	0.015	0.016	0.012	0.014	0.017	0.016	0.013	0.014	0.014	0.01	0.017	0.014	0.018	0.018	0.018	0.017	0.016
C25	0.017	0.025	0.012	0.021	0.022	0.021	0.008	0.007	0.007	0.005	0.021	0.016	0.032	0.027	0.026	0.025	0.022
C26	0.023	0.016	0.033	0.025	0.019	0.027	0.04	0.025	0.026	0.032	0.023	0.029	0.018	0.021	0.021	0.022	0.022
C27	0.007	0.011	0.004	0.009	0.009	0.008	0.004	0.008	0.008	0.003	0.008	0.005	0.013	0.011	0.01	0.01	0.009
C28	0.036	0.043	0.022	0.031	0.037	0.025	0.038	0.026	0.026	0.023	0.034	0.026	0.035	0.031	0.034	0.035	0.034
C29	0.021	0.034	0.014	0.017	0.022	0.025	0.008	0.019	0.019	0.008	0.022	0.015	0.036	0.032	0.031	0.033	0.026
C30	0.018	0.029	0.011	0.018	0.022	0.019	0.009	0.012	0.012	0.006	0.022	0.016	0.035	0.031	0.029	0.029	0.02
C31	0.018	0.018	0.012	0.019	0.02	0.016	0.008	0.014	0.014	0.011	0.018	0.014	0.021	0.019	0.019	0.021	0.02
C32	0.02	0.013	0.021	0.016	0.018	0.015	0.015	0.024	0.023	0.024	0.018	0.019	0.013	0.014	0.014	0.015	0.017
C33	0.013	0.012	0.011	0.011	0.013	0.019	0.013	0.009	0.009	0.01	0.012	0.016	0.012	0.013	0.013	0.012	0.013
C34	0.006	0.01	0.007	0.006	0.009	0.01	0.006	0.008	0.008	0.004	0.007	0.006	0.01	0.01	0.009	0.009	0.008
C35	0.053	0.034	0.08	0.051	0.043	0.047	0.068	0.079	0.079	0.087	0.047	0.058	0.04	0.046	0.047	0.047	0.048
C36	0.034	0.031	0.035	0.044	0.04	0.047	0.035	0.04	0.04	0.039	0.038	0.035	0.029	0.03	0.03	0.03	0.031
C37	0.03	0.018	0.05	0.032	0.022	0.03	0.047	0.042	0.042	0.055	0.026	0.039	0.026	0.029	0.029	0.029	0.031
C38	0.021	0.015	0.032	0.023	0.019	0.033	0.039	0.032	0.032	0.041	0.023	0.024	0.015	0.016	0.016	0.018	0.019
C39	0.02	0.032	0.009	0.016	0.023	0.018	0.009	0.009	0.009	0.006	0.019	0.01	0.017	0.015	0.014	0.016	0.015
C40	0.01	0.007	0.011	0.008	0.007	0.014	0.01	0.011	0.011	0.011	0.008	0.012	0.008	0.01	0.01	0.009	0.011
C41	0.026	0.019	0.027	0.024	0.025	0.029	0.029	0.03	0.03	0.031	0.026	0.028	0.023	0.025	0.025	0.025	0.025
C42	0.009	0.006	0.011	0.01	0.008	0.007	0.017	0.011	0.011	0.011	0.009	0.012	0.007	0.007	0.007	0.008	0.008
C43	0.008	0.007	0.007	0.008	0.008	0.006	0.006	0.004	0.004	0.004	0.007	0.008	0.007	0.007	0.007	0.007	0.006
C44	0.042	0.028	0.07	0.053	0.037	0.047	0.033	0.112	0.112	0.09	0.042	0.052	0.028	0.033	0.034	0.039	0.042
C45	0.009	0.01	0.004	0.007	0.007	0.003	0.006	0.005	0.006	0.003	0.007	0.005	0.01	0.009	0.009	0.009	0.01
C46	0.008	0.005	0.006	0.009	0.006	0.005	0.007	0.007	0.008	0.005	0.008	0.005	0.005	0.004	0.004	0.006	0.003
C47	0.015	0.015	0.012	0.016	0.015	0.012	0.022	0.011	0.011	0.013	0.018	0.016	0.023	0.02	0.02	0.018	0.019
C48	0.007	0.006	0.008	0.011	0.009	0.006	0.016	0.01	0.01	0.009	0.009	0.007	0.005	0.005	0.005	0.005	0.004
C49	0.015	0.012	0.015	0.011	0.015	0.017	0.016	0.01	0.01	0.014	0.015	0.017	0.013	0.014	0.015	0.013	0.017
C50	0.004	0.005	0.003	0.005	0.003	0.001	0.004	0.003	0.003	0.002	0.003	0.003	0.007	0.007	0.007	0.008	0.007
C51	0.022	0.015	0.031	0.024	0.021	0.029	0.03	0.031	0.031	0.033	0.021	0.033	0.019	0.024	0.023	0.022	0.026
C52	0.009	0.015	0.006	0.01	0.013	0.014	0.005	0.006	0.006	0.003	0.013	0.008	0.015	0.015	0.013	0.013	0.012
C53	0.013	0.01	0.013	0.015	0.012	0.009	0.011	0.015	0.015	0.013	0.012	0.012	0.009	0.01	0.01	0.01	0.013
C54	0.02	0.018	0.02	0.022	0.019	0.019	0.018	0.018	0.017	0.016	0.019	0.017	0.018	0.018	0.018	0.018	0.018
C55	0.016	0.022	0.006	0.009	0.015	0.017	0.007	0.008	0.008	0.005	0.018	0.008	0.023	0.02	0.02	0.019	0.02
C56	0.028	0.021	0.023	0.019	0.027	0.026	0.023	0.016	0.016	0.02	0.025	0.028	0.018	0.021	0.021	0.022	0.026
C57	0.002	0.003	0.003	0.003	0.004	0.002	0	0.002	0.003	0.002	0.004	0.003	0.002	0.001	0.001	0.002	0.002
C58	0.01	0.018	0.004	0.008	0.013	0.008	0.009	0.004	0.004	0.002	0.01	0.005	0.011	0.011	0.011	0.01	0.008
C59	0.007	0.007	0.009	0.015	0.011	0.008	0.01	0.007	0.007	0.008	0.011	0.01	0.01	0.011	0.011	0.008	0.007
C60	0.019	0.009	0.033	0.014	0.013	0.017	0.024	0.022	0.022	0.034	0.015	0.03	0.014	0.017	0.017	0.017	0.021