gene_category	matrix	number_of_genes
non_ribo	Borowiec2015_Best108	102
non_ribo	Borowiec2015_Total1080	1080
non_ribo	Chang2015	102
non_ribo	Dunn2008	112
non_ribo	Hejnol2009	1460
non_ribo	Moroz2014_3d	113
non_ribo	Nosenko2013_nonribo_9187	35
non_ribo	Nosenko2013_ribo_11057	8
non_ribo	Nosenko2013_ribo_14615	16
non_ribo	Philippe2009	58
non_ribo	Ryan2013_est	380
non_ribo	Simion2017	1695
non_ribo	Whelan2015_D1	246
non_ribo	Whelan2015_D10	205
non_ribo	Whelan2015_D20	173
non_ribo	Whelan2017_full	203
non_ribo	Whelan2017_strict	55
ribo	Borowiec2015_Best108	6
ribo	Borowiec2015_Total1080	0
ribo	Chang2015	68
ribo	Dunn2008	38
ribo	Hejnol2009	27
ribo	Moroz2014_3d	1
ribo	Nosenko2013_nonribo_9187	0
ribo	Nosenko2013_ribo_11057	70
ribo	Nosenko2013_ribo_14615	71
ribo	Philippe2009	71
ribo	Ryan2013_est	26
ribo	Simion2017	24
ribo	Whelan2015_D1	5
ribo	Whelan2015_D10	5
ribo	Whelan2015_D20	5
ribo	Whelan2017_full	9
ribo	Whelan2017_strict	4