Paper	matrix_name	notes
Dunn2008	Dunn2008	
Philippe2009	Philippe2009	
Hejnol2009	Hejnol2009	
Nosenko2013	Nosenko2013	
Ryan2013	Ryan2013-Choano 	
Ryan2014	Ryan2013-Holo 	
Ryan2015	Ryan2013-Opistho  	
Moroz2014	Moroz2014-3D	
Whelan2015	Whelan2015-D1	
Whelan2016	Whelan2015-D6	
Whelan2017	Whelan2015-D16	
Whelan2018	Whelan2015-D20	
Whelan2019	Philippe2009	Ribosomal genes were removed
Borowiec2015	Borowiec2015-Best108	
Borowiec2015	Borowiec2015-Total1080	
Chang2015	Chang2015	
Pisani2015	Ryan2013-Opistho	 Xenoturbella was removed
Pisani2016	Ryan2013-Holo 	
Pisani2017	Ryan2013-Opistho	 Xenoturbella was removed
Pisani2018	Moroz2014-3D	 Xenoturbella was removed
Pisani2019	Moroz2014-3D	
Pisani2020	Whelan2015-D6-Choano	
Pisani2021	Whelan2015-D6-Holo	
Pisani2022	Whelan2015-D6-Opistho	
Pisani2023	Whelan2015-D16-Choano 	
Pisani2024	Whelan2015-D16-Holo	
Pisani2025	Whelan2015-D16-Opistho	
Schierwater2016	NA	
Whelan2017	Philippe2009	
Whelan2017	Nosenkoo2013	
Simion2017	Simion2017	
Shen2017	Borowiec2015-Best108	
Shen2018	Borowiec2015-Total1080	
Shen2019	Ryan2013-Opistho	
Shen2020	Ryan2013-Opistho	
Shen2021	Whelan_D1_Opistho	
Shen2022	Whelan_D1_Choano	
Shen2023	Whelan_D16_Opistho	
Shen2024	Whelan_D16_Choano	
King2017	None	
Whelan2017-Cenophore	Whelan2017	
Feuda2017	Whelan2015-D20-Choano 	
Feuda2018	Whelan2015-D20-Holo	
Feuda2019	Whelan2015-D20-Opistho	
Feuda2020	Chang2015	